Bereinigung,Indizes / Veränderungen,Nominal / Real,Branche / Warengruppe,Monat,DATA
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-01-01,80.05
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-02-01,80.03
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-03-01,82.172
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-04-01,84.564
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-05-01,92.05
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-06-01,77.192
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-07-01,81.775
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-08-01,78.857
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-09-01,85.045
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-10-01,86.94
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-11-01,94.63
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2000-12-01,109.772
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-01-01,84.006
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-02-01,78.755
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-03-01,85.398
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-04-01,83.462
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-05-01,92.587
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-06-01,83.471
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-07-01,83.344
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-08-01,80.933
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-09-01,85.929
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-10-01,88.014
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-11-01,96.67
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2001-12-01,110.539
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-01-01,86.235
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-02-01,80.62
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-03-01,86.696
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-04-01,85.454
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-05-01,91.688
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-06-01,80.693
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-07-01,84.647
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-08-01,81.105
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-09-01,82.938
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-10-01,89.731
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-11-01,94.327
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2002-12-01,107.035
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-01-01,86.081
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-02-01,78.948
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-03-01,83.706
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-04-01,87.056
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-05-01,92.554
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-06-01,79.344
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-07-01,85.955
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-08-01,77.595
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-09-01,85.755
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-10-01,91.575
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-11-01,90.779
