,datetime,bhfs_north,bhfs_middle,bhfs_south
0,2021-09-28 22:00:00,118.0,203.0,151.0
1,2021-09-28 23:00:00,7.0,25.0,19.0
2,2021-09-29 00:00:00,4.0,17.0,10.0
3,2021-09-29 01:00:00,2.0,15.0,6.0
4,2021-09-29 02:00:00,5.0,18.0,22.0
5,2021-09-29 03:00:00,76.0,140.0,93.0
6,2021-09-29 04:00:00,265.0,308.0,292.0
7,2021-09-29 05:00:00,560.0,592.0,784.0
8,2021-09-29 06:00:00,831.0,745.0,1083.0
9,2021-09-29 07:00:00,1113.0,834.0,1256.0
10,2021-09-29 08:00:00,1490.0,934.0,1531.0
11,2021-09-29 09:00:00,1875.0,1170.0,2085.0
12,2021-09-29 10:00:00,2375.0,1567.0,3106.0
13,2021-09-29 11:00:00,2313.0,1012.0,2891.0
14,2021-09-29 12:00:00,2679.0,248.0,2992.0
15,2021-09-29 13:00:00,2754.0,1238.0,2785.0
16,2021-09-29 14:00:00,2773.0,1316.0,2647.0
17,2021-09-29 15:00:00,2960.0,1582.0,2897.0
18,2021-09-29 16:00:00,2743.0,1231.0,2684.0
19,2021-09-29 17:00:00,1732.0,908.0,1581.0
20,2021-09-29 18:00:00,847.0,571.0,892.0
21,2021-09-29 19:00:00,740.0,449.0,720.0
22,2021-09-29 20:00:00,547.0,383.0,638.0
23,2021-09-29 21:00:00,297.0,288.0,370.0
24,2021-09-29 22:00:00,86.0,114.0,107.0
25,2021-09-29 23:00:00,18.0,16.0,42.0
26,2021-09-30 00:00:00,11.0,17.0,10.0
27,2021-09-30 01:00:00,3.0,30.0,4.0
28,2021-09-30 02:00:00,6.0,27.0,24.0
29,2021-09-30 03:00:00,87.0,148.0,104.0
30,2021-09-30 04:00:00,264.0,276.0,335.0
31,2021-09-30 05:00:00,579.0,620.0,805.0
32,2021-09-30 06:00:00,849.0,796.0,1083.0
33,2021-09-30 07:00:00,1039.0,865.0,1250.0
34,2021-09-30 08:00:00,1393.0,1019.0,1679.0
35,2021-09-30 09:00:00,1912.0,1214.0,2142.0
36,2021-09-30 10:00:00,2433.0,1719.0,3152.0
37,2021-09-30 11:00:00,2411.0,1678.0,3188.0
38,2021-09-30 12:00:00,2758.0,1585.0,2943.0
39,2021-09-30 13:00:00,2900.0,1624.0,3019.0
40,2021-09-30 14:00:00,2938.0,1544.0,2833.0
41,2021-09-30 15:00:00,3430.0,1738.0,3256.0
42,2021-09-30 16:00:00,3010.0,1606.0,2949.0
43,2021-09-30 17:00:00,1984.0,998.0,1801.0
44,2021-09-30 18:00:00,1195.0,719.0,1129.0
45,2021-09-30 19:00:00,1034.0,537.0,925.0
