Date,Public Holiday AG
2021-11-01 00:00:00,Allerheiligen
2021-11-01 01:00:00,Allerheiligen
2021-11-01 02:00:00,Allerheiligen
2021-11-01 03:00:00,Allerheiligen
2021-11-01 04:00:00,Allerheiligen
2021-11-01 05:00:00,Allerheiligen
2021-11-01 06:00:00,Allerheiligen
2021-11-01 07:00:00,Allerheiligen
2021-11-01 08:00:00,Allerheiligen
2021-11-01 09:00:00,Allerheiligen
2021-11-01 10:00:00,Allerheiligen
2021-11-01 11:00:00,Allerheiligen
2021-11-01 12:00:00,Allerheiligen
2021-11-01 13:00:00,Allerheiligen
2021-11-01 14:00:00,Allerheiligen
2021-11-01 15:00:00,Allerheiligen
2021-11-01 16:00:00,Allerheiligen
2021-11-01 17:00:00,Allerheiligen
2021-11-01 18:00:00,Allerheiligen
2021-11-01 19:00:00,Allerheiligen
2021-11-01 20:00:00,Allerheiligen
2021-11-01 21:00:00,Allerheiligen
2021-11-01 22:00:00,Allerheiligen
2021-11-01 23:00:00,Allerheiligen
2021-12-08 00:00:00,Mariä Empfängnis
2021-12-08 01:00:00,Mariä Empfängnis
2021-12-08 02:00:00,Mariä Empfängnis
2021-12-08 03:00:00,Mariä Empfängnis
2021-12-08 04:00:00,Mariä Empfängnis
2021-12-08 05:00:00,Mariä Empfängnis
2021-12-08 06:00:00,Mariä Empfängnis
2021-12-08 07:00:00,Mariä Empfängnis
2021-12-08 08:00:00,Mariä Empfängnis
2021-12-08 09:00:00,Mariä Empfängnis
2021-12-08 10:00:00,Mariä Empfängnis
2021-12-08 11:00:00,Mariä Empfängnis
2021-12-08 12:00:00,Mariä Empfängnis
2021-12-08 13:00:00,Mariä Empfängnis
2021-12-08 14:00:00,Mariä Empfängnis
2021-12-08 15:00:00,Mariä Empfängnis
2021-12-08 16:00:00,Mariä Empfängnis
2021-12-08 17:00:00,Mariä Empfängnis
2021-12-08 18:00:00,Mariä Empfängnis
2021-12-08 19:00:00,Mariä Empfängnis
2021-12-08 20:00:00,Mariä Empfängnis
2021-12-08 21:00:00,Mariä Empfängnis
2021-12-08 22:00:00,Mariä Empfängnis
2021-12-08 23:00:00,Mariä Empfängnis
2021-12-26 00:00:00,Stephanstag
2021-12-26 01:00:00,Stephanstag
2021-12-26 02:00:00,Stephanstag
2021-12-26 03:00:00,Stephanstag
2021-12-26 04:00:00,Stephanstag
2021-12-26 05:00:00,Stephanstag
2021-12-26 06:00:00,Stephanstag
2021-12-26 07:00:00,Stephanstag
2021-12-26 08:00:00,Stephanstag
2021-12-26 09:00:00,Stephanstag
2021-12-26 10:00:00,Stephanstag
2021-12-26 11:00:00,Stephanstag
2021-12-26 12:00:00,Stephanstag
2021-12-26 13:00:00,Stephanstag
2021-12-26 14:00:00,Stephanstag
2021-12-26 15:00:00,Stephanstag
2021-12-26 16:00:00,Stephanstag
2021-12-26 17:00:00,Stephanstag
2021-12-26 18:00:00,Stephanstag
2021-12-26 19:00:00,Stephanstag
2021-12-26 20:00:00,Stephanstag
2021-12-26 21:00:00,Stephanstag
2021-12-26 22:00:00,Stephanstag
2021-12-26 23:00:00,Stephanstag
2022-01-02 00:00:00,Berchtoldstag
2022-01-02 01:00:00,Berchtoldstag
2022-01-02 02:00:00,Berchtoldstag
2022-01-02 03:00:00,Berchtoldstag
2022-01-02 04:00:00,Berchtoldstag
2022-01-02 05:00:00,Berchtoldstag
2022-01-02 06:00:00,Berchtoldstag
2022-01-02 07:00:00,Berchtoldstag
2022-01-02 08:00:00,Berchtoldstag
2022-01-02 09:00:00,Berchtoldstag
2022-01-02 10:00:00,Berchtoldstag
2022-01-02 11:00:00,Berchtoldstag
2022-01-02 12:00:00,Berchtoldstag
2022-01-02 13:00:00,Berchtoldstag
2022-01-02 14:00:00,Berchtoldstag
2022-01-02 15:00:00,Berchtoldstag
2022-01-02 16:00:00,Berchtoldstag
2022-01-02 17:00:00,Berchtoldstag
2022-01-02 18:00:00,Berchtoldstag
2022-01-02 19:00:00,Berchtoldstag
2022-01-02 20:00:00,Berchtoldstag
2022-01-02 21:00:00,Berchtoldstag
2022-01-02 22:00:00,Berchtoldstag
2022-01-02 23:00:00,Berchtoldstag
2022-04-15 00:00:00,Karfreitag
2022-04-15 01:00:00,Karfreitag
2022-04-15 02:00:00,Karfreitag
2022-04-15 03:00:00,Karfreitag
2022-04-15 04:00:00,Karfreitag
2022-04-15 05:00:00,Karfreitag
2022-04-15 06:00:00,Karfreitag
2022-04-15 07:00:00,Karfreitag
2022-04-15 08:00:00,Karfreitag
2022-04-15 09:00:00,Karfreitag
2022-04-15 10:00:00,Karfreitag
2022-04-15 11:00:00,Karfreitag
2022-04-15 12:00:00,Karfreitag
2022-04-15 13:00:00,Karfreitag
2022-04-15 14:00:00,Karfreitag
2022-04-15 15:00:00,Karfreitag
2022-04-15 16:00:00,Karfreitag
2022-04-15 17:00:00,Karfreitag
2022-04-15 18:00:00,Karfreitag
2022-04-15 19:00:00,Karfreitag
2022-04-15 20:00:00,Karfreitag
2022-04-15 21:00:00,Karfreitag
2022-04-15 22:00:00,Karfreitag
2022-04-15 23:00:00,Karfreitag
2022-04-18 00:00:00,Ostermontag
2022-04-18 01:00:00,Ostermontag
2022-04-18 02:00:00,Ostermontag
2022-04-18 03:00:00,Ostermontag
2022-04-18 04:00:00,Ostermontag
2022-04-18 05:00:00,Ostermontag
2022-04-18 06:00:00,Ostermontag
2022-04-18 07:00:00,Ostermontag
2022-04-18 08:00:00,Ostermontag
2022-04-18 09:00:00,Ostermontag
2022-04-18 10:00:00,Ostermontag
2022-04-18 11:00:00,Ostermontag
2022-04-18 12:00:00,Ostermontag
2022-04-18 13:00:00,Ostermontag
2022-04-18 14:00:00,Ostermontag
2022-04-18 15:00:00,Ostermontag
2022-04-18 16:00:00,Ostermontag
2022-04-18 17:00:00,Ostermontag
2022-04-18 18:00:00,Ostermontag
2022-04-18 19:00:00,Ostermontag
2022-04-18 20:00:00,Ostermontag
2022-04-18 21:00:00,Ostermontag
2022-04-18 22:00:00,Ostermontag
2022-04-18 23:00:00,Ostermontag
2022-05-01 00:00:00,Tag der Arbeit
2022-05-01 01:00:00,Tag der Arbeit
2022-05-01 02:00:00,Tag der Arbeit
2022-05-01 03:00:00,Tag der Arbeit
2022-05-01 04:00:00,Tag der Arbeit
2022-05-01 05:00:00,Tag der Arbeit
2022-05-01 06:00:00,Tag der Arbeit
2022-05-01 07:00:00,Tag der Arbeit
2022-05-01 08:00:00,Tag der Arbeit
2022-05-01 09:00:00,Tag der Arbeit
2022-05-01 10:00:00,Tag der Arbeit
2022-05-01 11:00:00,Tag der Arbeit
2022-05-01 12:00:00,Tag der Arbeit
2022-05-01 13:00:00,Tag der Arbeit
2022-05-01 14:00:00,Tag der Arbeit
2022-05-01 15:00:00,Tag der Arbeit
2022-05-01 16:00:00,Tag der Arbeit
2022-05-01 17:00:00,Tag der Arbeit
2022-05-01 18:00:00,Tag der Arbeit
2022-05-01 19:00:00,Tag der Arbeit
2022-05-01 20:00:00,Tag der Arbeit
2022-05-01 21:00:00,Tag der Arbeit
2022-05-01 22:00:00,Tag der Arbeit
2022-05-01 23:00:00,Tag der Arbeit
2022-06-06 00:00:00,Pfingstmontag
2022-06-06 01:00:00,Pfingstmontag
2022-06-06 02:00:00,Pfingstmontag
2022-06-06 03:00:00,Pfingstmontag
2022-06-06 04:00:00,Pfingstmontag
2022-06-06 05:00:00,Pfingstmontag
2022-06-06 06:00:00,Pfingstmontag
2022-06-06 07:00:00,Pfingstmontag
2022-06-06 08:00:00,Pfingstmontag
2022-06-06 09:00:00,Pfingstmontag
2022-06-06 10:00:00,Pfingstmontag
2022-06-06 11:00:00,Pfingstmontag
2022-06-06 12:00:00,Pfingstmontag
2022-06-06 13:00:00,Pfingstmontag
2022-06-06 14:00:00,Pfingstmontag
2022-06-06 15:00:00,Pfingstmontag
2022-06-06 16:00:00,Pfingstmontag
2022-06-06 17:00:00,Pfingstmontag
2022-06-06 18:00:00,Pfingstmontag
