,Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
502902,2021-09-28 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
502924,2021-09-28 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
502946,2021-09-28 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
502968,2021-09-28 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
502990,2021-09-28 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503012,2021-09-28 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503034,2021-09-28 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,6.66,bereinigt
503056,2021-09-28 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,160.8,bereinigt
503078,2021-09-28 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,174.51,bereinigt
503100,2021-09-28 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,261.36,bereinigt
503122,2021-09-28 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,437.91,bereinigt
503144,2021-09-28 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,533.52,bereinigt
503166,2021-09-28 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,411.71,bereinigt
503188,2021-09-28 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,415.18,bereinigt
503210,2021-09-28 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,263.34,bereinigt
503232,2021-09-28 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,137.72,bereinigt
503254,2021-09-28 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,100.46,bereinigt
503276,2021-09-28 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,20.09,bereinigt
503298,2021-09-28 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.24,bereinigt
503320,2021-09-28 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503342,2021-09-28 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503364,2021-09-28 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503386,2021-09-28 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503408,2021-09-28 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503430,2021-09-29 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503452,2021-09-29 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503474,2021-09-29 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503496,2021-09-29 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503518,2021-09-29 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503540,2021-09-29 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503562,2021-09-29 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,6.49,bereinigt
503584,2021-09-29 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,54.49,bereinigt
503606,2021-09-29 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,107.9,bereinigt
503628,2021-09-29 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,287.89,bereinigt
503650,2021-09-29 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,534.46,bereinigt
503672,2021-09-29 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,587.93,bereinigt
503694,2021-09-29 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,679.82,bereinigt
503716,2021-09-29 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,478.01,bereinigt
503738,2021-09-29 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,224.57,bereinigt
503760,2021-09-29 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,131.94,bereinigt
503782,2021-09-29 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,88.15,bereinigt
503804,2021-09-29 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,53.65,bereinigt
503826,2021-09-29 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.78,bereinigt
503848,2021-09-29 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503870,2021-09-29 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503892,2021-09-29 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503914,2021-09-29 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.06,bereinigt
503936,2021-09-29 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
503958,2021-09-30 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
503980,2021-09-30 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504002,2021-09-30 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504024,2021-09-30 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504046,2021-09-30 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504068,2021-09-30 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504090,2021-09-30 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,9.1,bereinigt
504112,2021-09-30 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,73.57,bereinigt
504134,2021-09-30 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,260.58,bereinigt
504156,2021-09-30 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,476.54,bereinigt
504178,2021-09-30 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,522.0,bereinigt
504200,2021-09-30 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,574.39,bereinigt
504222,2021-09-30 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,609.68,bereinigt
504244,2021-09-30 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,599.31,bereinigt
504266,2021-09-30 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,498.26,bereinigt
504288,2021-09-30 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,361.78,bereinigt
504310,2021-09-30 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,195.51,bereinigt
504332,2021-09-30 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,50.22,bereinigt
504354,2021-09-30 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.4,bereinigt
504376,2021-09-30 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504398,2021-09-30 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504420,2021-09-30 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504442,2021-09-30 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504464,2021-09-30 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504486,2021-10-01 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504508,2021-10-01 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504530,2021-10-01 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
504552,2021-10-01 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
504574,2021-10-01 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
