startDate,endDate,type,nationwide,publicHoliday,SH,SZ,AG,SG,BE,BS,AI,ZH,LU,VD,SO,TG,NE,TI,NW,ZG,JU,AR,GR,GE,VS,GL,BL,FR,UR,OW
2022-03-19,2022-03-19,Public,False,Josephstag,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False
2022-04-07,2022-04-07,Public,False,Näfelser Fahrt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-04-15,2022-04-15,Public,False,Karfreitag,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
2022-04-18,2022-04-18,Public,False,Ostermontag,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
2022-04-25,2022-04-25,Public,False,Sechseläuten,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-05-01,2022-05-01,Public,False,Tag der Arbeit,True,False,True,False,False,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False
2022-05-26,2022-05-26,Public,True,Auffahrt,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-06-06,2022-06-06,Public,False,Pfingstmontag,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
2022-06-16,2022-06-16,Public,False,Fronleichnam,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True
2022-06-29,2022-06-29,Public,False,Peter und Paul,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2022-08-01,2022-08-01,Public,True,Bundesfeiertag,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-08-15,2022-08-15,Public,False,Mariä Himmelfahrt,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True
2022-09-08,2022-09-08,Public,False,Genfer Bettag,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-09-12,2022-09-12,Public,False,Knabenschiessen,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-09-18,2022-09-18,Public,False,"Eidgenössischer Dank-, Buss- und Bettag",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
2022-09-22,2022-09-22,Public,False,Mauritiustag,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-09-25,2022-09-25,Public,False,Bruder-Klausen-Fest,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2022-11-01,2022-11-01,Public,False,Allerheiligen,False,True,True,True,False,False,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True
2022-12-08,2022-12-08,Public,False,Mariä Empfängnis,False,True,True,False,False,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,True,True,True
2022-12-25,2022-12-25,Public,True,Weihnachten,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-12-26,2022-12-26,Public,False,Stephanstag,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True
2023-01-01,2023-01-01,Public,True,Neujahrstag,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-02,2023-01-02,Public,False,Berchtoldstag,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,True,False,True
2023-01-06,2023-01-06,Public,False,Dreikönigstag,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
