,PPP,Population,Guests,Traffic,Sunshine,Retail
2021-10-01 00:00:00,101.3,435712.0,226648.0,14125.0,0.02,101.188
2021-10-01 01:00:00,101.3,435712.0,226648.0,7733.0,0.02,101.188
2021-10-01 02:00:00,101.3,435712.0,226648.0,4814.0,0.02,101.188
2021-10-01 03:00:00,101.3,435712.0,226648.0,5317.0,0.02,101.188
2021-10-01 04:00:00,101.3,435712.0,226648.0,9722.0,0.03,101.188
2021-10-01 05:00:00,101.3,435712.0,226648.0,29673.0,0.02,101.188
2021-10-01 06:00:00,101.3,435712.0,226648.0,78483.0,0.03,101.188
2021-10-01 07:00:00,101.3,435712.0,226648.0,99367.0,8.31,101.188
2021-10-01 08:00:00,101.3,435712.0,226648.0,96717.0,129.46,101.188
2021-10-01 09:00:00,101.3,435712.0,226648.0,86793.0,304.18,101.188
2021-10-01 10:00:00,101.3,435712.0,226648.0,86123.0,449.84,101.188
2021-10-01 11:00:00,101.3,435712.0,226648.0,90532.0,560.7,101.188
2021-10-01 12:00:00,101.3,435712.0,226648.0,88525.0,622.54,101.188
2021-10-01 13:00:00,101.3,435712.0,226648.0,89844.0,622.16,101.188
2021-10-01 14:00:00,101.3,435712.0,226648.0,93321.0,577.06,101.188
2021-10-01 15:00:00,101.3,435712.0,226648.0,97425.0,472.34,101.188
2021-10-01 16:00:00,101.3,435712.0,226648.0,108116.0,353.2,101.188
2021-10-01 17:00:00,101.3,435712.0,226648.0,113617.0,191.71,101.188
2021-10-01 18:00:00,101.3,435712.0,226648.0,104966.0,29.11,101.188
2021-10-01 19:00:00,101.3,435712.0,226648.0,80939.0,0.06,101.188
2021-10-01 20:00:00,101.3,435712.0,226648.0,59960.0,0.03,101.188
2021-10-01 21:00:00,101.3,435712.0,226648.0,47414.0,0.03,101.188
2021-10-01 22:00:00,101.3,435712.0,226648.0,40625.0,0.02,101.188
2021-10-01 23:00:00,101.3,435712.0,226648.0,28211.0,0.03,101.188
2021-10-02 00:00:00,101.3,435712.0,226648.0,13072.0,0.02,101.188
2021-10-02 01:00:00,101.3,435712.0,226648.0,8133.0,0.03,101.188
2021-10-02 02:00:00,101.3,435712.0,226648.0,5595.0,0.03,101.188
2021-10-02 03:00:00,101.3,435712.0,226648.0,7455.0,0.02,101.188
2021-10-02 04:00:00,101.3,435712.0,226648.0,10339.0,0.03,101.188
2021-10-02 05:00:00,101.3,435712.0,226648.0,29839.0,0.02,101.188
2021-10-02 06:00:00,101.3,435712.0,226648.0,78535.0,0.02,101.188
2021-10-02 07:00:00,101.3,435712.0,226648.0,99867.0,0.73,101.188
2021-10-02 08:00:00,101.3,435712.0,226648.0,99255.0,75.42,101.188
2021-10-02 09:00:00,101.3,435712.0,226648.0,87554.0,188.08,101.188
2021-10-02 10:00:00,101.3,435712.0,226648.0,87220.0,446.18,101.188
2021-10-02 11:00:00,101.3,435712.0,226648.0,90533.0,537.61,101.188
2021-10-02 12:00:00,101.3,435712.0,226648.0,87991.0,615.92,101.188
2021-10-02 13:00:00,101.3,435712.0,226648.0,90780.0,627.02,101.188
2021-10-02 14:00:00,101.3,435712.0,226648.0,93854.0,454.4,101.188
2021-10-02 15:00:00,101.3,435712.0,226648.0,97514.0,434.47,101.188
2021-10-02 16:00:00,101.3,435712.0,226648.0,107784.0,306.96,101.188
2021-10-02 17:00:00,101.3,435712.0,226648.0,112786.0,128.23,101.188
2021-10-02 18:00:00,101.3,435712.0,226648.0,106368.0,38.81,101.188
2021-10-02 19:00:00,101.3,435712.0,226648.0,87019.0,0.04,101.188
2021-10-02 20:00:00,101.3,435712.0,226648.0,64033.0,0.03,101.188
2021-10-02 21:00:00,101.3,435712.0,226648.0,54300.0,0.03,101.188
2021-10-02 22:00:00,101.3,435712.0,226648.0,46972.0,0.03,101.188
2021-10-02 23:00:00,101.3,435712.0,226648.0,32189.0,0.03,101.188
2021-10-03 00:00:00,101.3,435712.0,226648.0,17332.0,0.03,101.188
