Date,Population
1998-01-31,359411
1998-02-28,359707
1998-03-31,358869
1998-04-30,360128
1998-05-31,360537
1998-06-30,359879
1998-07-31,359611
1998-08-31,359839
1998-09-30,358593
1998-10-31,360531
1998-11-30,360881
1998-12-31,359073
1999-01-31,359989
1999-02-28,360340
1999-03-31,359657
1999-04-30,360845
1999-05-31,361338
1999-06-30,361503
1999-07-31,361515
1999-08-31,361692
1999-09-30,360384
1999-10-31,362258
1999-11-30,362280
1999-12-31,360704
2000-01-31,360960
2000-02-29,361014
2000-03-31,360096
2000-04-30,361278
2000-05-31,361903
2000-06-30,361295
2000-07-31,361481
2000-08-31,361468
2000-09-30,360194
2000-10-31,362432
2000-11-30,362634
2000-12-31,360980
2001-01-31,361641
2001-02-28,361974
2001-03-31,361390
2001-04-30,362740
2001-05-31,363366
2001-06-30,363172
2001-07-31,362871
2001-08-31,363041
2001-09-30,362323
2001-10-31,364054
2001-11-30,363903
2001-12-31,362042
2002-01-31,362744
2002-02-28,363181
2002-03-31,362900
2002-04-30,363721
2002-05-31,364164
2002-06-30,363948
2002-07-31,363921
2002-08-31,364274
2002-09-30,363804
2002-10-31,365617
2002-11-30,365776
2002-12-31,364558
2003-01-31,364791
2003-02-28,365030
2003-03-31,364592
2003-04-30,364986
2003-05-31,365337
2003-06-30,364860
2003-07-31,364352
2003-08-31,364726
2003-09-30,364176
2003-10-31,365640
2003-11-30,365591
2003-12-31,364528
2004-01-31,364828
2004-02-29,365260
2004-03-31,364415
2004-04-30,365185
2004-05-31,365518
2004-06-30,365421
2004-07-31,364911
2004-08-31,365299
2004-09-30,364437
2004-10-31,366081
2004-11-30,366326
2004-12-31,364977
2005-01-31,365695
2005-02-28,365952
2005-03-31,365056
2005-04-30,366143
2005-05-31,366455
2005-06-30,366103
2005-07-31,366211
2005-08-31,366821
2005-09-30,366174
2005-10-31,368138
2005-11-30,368374
2005-12-31,366809
2006-01-31,367745
2006-02-28,367927
2006-03-31,367215
2006-04-30,368508
2006-05-31,369185
2006-06-30,368909
2006-07-31,369123
2006-08-31,369082
2006-09-30,368646
2006-10-31,370880
2006-11-30,371333
2006-12-31,370062
2007-01-31,371140
2007-02-28,371588
2007-03-31,370964
2007-04-30,372311
2007-05-31,373034
2007-06-30,373262
2007-07-31,373594
2007-08-31,374593
2007-09-30,375565
2007-10-31,377487
2007-11-30,378153
2007-12-31,376815
2008-01-31,377715
2008-02-29,378393
2008-03-31,377852
2008-04-30,379103
2008-05-31,379539
2008-06-30,379395
2008-07-31,379376
2008-08-31,380052
2008-09-30,380531
2008-10-31,381652
2008-11-30,381740
2008-12-31,380499
2009-01-31,381080
2009-02-28,381982
2009-03-31,381383
2009-04-30,382211
2009-05-31,382580
2009-06-30,382428
2009-07-31,382059
2009-08-31,382753
2009-09-30,383435
2009-10-31,383747
2009-11-30,384083
2009-12-31,382906
2010-01-31,383114
2010-02-28,383539
2010-03-31,382742
2010-04-30,383319
2010-05-31,383828
